name,summary,father,category,learningTime,coverImage,order
什么是田野考古,田野考古是考古学研究得以展开的核心。考古学关心与“物”相关的一切——古人留下的物品、生活痕迹、与他们共同生活的自然世界……总的来说，考古学关心过去遗留的一切，尽可能全面地带领我们认识我们祖先的日常生活。,,C1,0,1.jpg,1
田野考古的前期准备,凡事预则立，不预则废。大致上，我们可以从“地”、“人”、“工作流程”三个方面进行田野考古的准备。,,C1,15,2.jpg,2
田野考古的野外工作,想要获得尽可能多的历史信息，就要科学地开展野外田野考古工作。在真实的田野考古工作中，考古工作者们需要面对的情况往往非常复杂，对遗址形成过程的思考贯穿整个田野考古工作的开展过程。,,C1,0,3.jpg,3
田野考古的室内工作,室外发掘的完成不代表整个田野考古工作的完成，还有大量繁杂的室内工作有待考古学者开展，其主要任务包括：按照一定的技术要求，对考古资料进行整理，并建立资料库；运用地层学、类型学的方法分析考古资料，确认遗存的相对关系。,,C1,30,4.jpg,4
编写田野考古报告,田野考古报告是向学术界和社会公众做的关于田野考古工作成果的报告书。编写田野考古报告，是田野工作的终点，也是考古研究的起点。,,C1,0,5.jpg,5
考古工地的管理,考古工地上，为了有条不紊地开展田野工作，人、物、流程都需要科学合理的管理。,,C1,0,6.jpg,6
什么是考古学,考古学关心与“物”相关的一切——古人留下的物品、生活痕迹、与他们共同生活的自然世界……让我们一起揭开考古学的神秘面纱。,什么是田野考古,C1,5,7.jpg,1
为什么要进行田野考古,田野考古是为了获取实物资料、开展相应研究而开展的基础工作，是到那个具体的“情境”之中，收集“物”以及与“物”相关的信息，并进行初步分析。,什么是田野考古,C1,5,8.jpg,2
怎样进行田野考古工作,田野考古工作比所谓的“发人旧冢”的行为要科学、广泛得多。一次完整的田野考古工作，至少包括前期准备-野外工作-室内整理-编写、发表报告四个阶段。,什么是田野考古,C1,15,9.jpg,3
为什么盗掘令人憎恶,除了对“物”的掠夺本身，将“物”从其“情境”中剥离，意味着相关信息被永久删除。这个研究对象的诸多背景信息再也无法为人所知，我们所有人我们因此丧失了通往过去、通往自身的途径。,什么是田野考古,C1,5,10.jpg,4
田野考古的理论依据,理论是抽象的，实践是复杂的。田野考古的常见理论、概念有：地层学、类型学、共存关系、考古学文化等。,田野考古的野外工作,C1,30,11.jpg,1
考古调查,在基本不破坏遗址或遗迹的情况下，发现和获取遗存资料，比如弄清遗址的分布范围、地层情况、文化性质和时代、保存状况，并进行必要的测量和相应的记录。,田野考古的野外工作,C1,10,12.jpg,2
考古发掘,"2.5维的考古发掘。“物”所处的是一个三维空间，因此，每一件遗物、每一处遗迹，都有其特定的，类似（x,y,z）的空间坐标位置。但是，当我们向下发掘时，面对的是（x,y）的平面位置，随着发掘工作的逐步深入，垂直方向的z才会逐渐显现。",田野考古的野外工作,C1,0,13.jpg,3
考古发掘的方法,和地层形成的顺序相反，考古发掘要与遗址的形成过程反向而行，逆着时间顺序揭开土层，先挖晚的，后挖早的，通过这些土层、包含物及各部分内容之间的关系，探索遗址原貌。在我国，最常见的发掘方法是探方法。,考古发掘,C1,30,14.jpg,1
发掘资料采集,考古发掘现场所获物质遗存，大致可分为人工遗物和自然遗存两类。原则上，必须保证采集方法的系统性、针对性、有效性。,考古发掘,C1,20,15.jpg,2
考古发掘记录,田野考古记录是对田野考古工作过程和工作对象的描述，为考古学研究和文化遗产保护提供基础资料。记录应客观、真实、全面、系统。考古学者需要尽量全面、完善地记录在发掘过程中所获的一切信息。,考古发掘,C1,30,16.jpg,3
遗址、遗物、遗迹的保护,无论是遗址、遗物、遗迹的保存，都需要尽最大努力，最大程度地保存其原始信息，尽量确保施加的任何保护手段都是可逆的。,考古发掘,C1,5,17.jpg,4
考古报告的要求与内容,高质量的野外工作和室内整理工作，是编写考古报告的基础.发掘报告必须客观、真实、全面、系统。行文简明扼要、层次清楚、明白易懂、查阅方便。,编写田野考古报告,C1,5,18.jpg,3
编写田野考古报告的注意事项,野外工作结束后要尽快编写和发表田野考古报告，不能相隔时间太久。多年发掘的大型遗址应及时发表阶段性报告。,编写田野考古报告,C1,5,19.jpg,2
什么是田野考古报告,即向学术界和社会公开的田野考古工作成果报告书。它的首要性质是资料性，基本功能有二：一是对遗存信息的传播；二是遗存信息的储存。,编写田野考古报告,C1,5,20.jpg,1
发掘资料管理,考古发掘所获实物及相关记录极其重要，需要建立临时库房，做好相应的资料管理工作。文字、测绘、影像和实物等各类资料必须由考古发掘单位负责管理，严防损坏和遗失，任何个人不得私自保存。,考古工地的管理,C1,10,21.jpg,3
考古发掘单位和领队职责,获得资金支持和挖掘许可之后，由考古发掘单位指定考古发掘领队负责考古工地，组织开展田野考古发掘工作。考古发掘单位需要指定考古发掘项目领队，监督、检查、指导领队工作。,考古工地的管理,C1,10,22.jpg,2
考古工作者的素养,在进行田野考古发掘之前，需要由具有考古发掘资质的相应单位，通过专门的渠道，申请获得国家文物局等相关部门的许可。依照我国法律，发掘出土的任何物品均归属国家。,考古工地的管理,C1,5,23.jpg,1
考古勘探工具,考古勘探是考古调查的重要手段之一。通过考古勘探，可以了解、确认文化遗存的位置、范围、保存状况等信息，为考古发掘和研究提供材料和依据。,,C2,10,2-1.jpg,1
考古发掘工具,考古发掘是田野考古最重要的工作，主要分为揭露遗迹、遗物和移送发掘出来的泥土这两大部分。,,C2,10,3-1.jpg,2
考古测量工具,考古测量是以发掘地区、墓葬、遗址和考古勘探范围等为主要对象，目的在于用图来表示发掘地点的位置和地理环境、遗迹的分布和结构形状，从而为考古研究提供材料。,,C2,10,4-4.jpg,3
圆明园遗址公园概述,圆明园包括圆明园、长春园、绮春园三座园子，历史上是清廷的皇家御园。英法联军入侵北京之后，圆明园不断遭到破坏，成为了一片废墟。新中国成立以后，国家逐渐重视圆明园的保护和利用，成立了圆明园遗址公园。,,C3,10,5-1.jpg,1
圆明园考古工作回顾,”地下圆明园”的认知历程：从圆明园管理处的清整工作到专业的考古发掘工作。,,C3,10,6-2.jpg,2
圆明园发掘遗址举例,举例介绍圆明园考古工作的具体实践，包括圆明园大宫门遗址、长春园含经堂遗址和海晏堂蓄水楼遗址。,,C3,16,6-9.jpg,3
圆明园管理处有组织的清理工作,1976年圆明园管理处成立之后，随着圆明园遗址公园的建设和开放，圆明园管理处陆续在西洋楼、福海周围等地方进行了清运渣土、归安石构件、清理基址等工作。,圆明园考古工作回顾,C3,10,6-1.jpg,1
圆明园最早的正式考古勘探发掘工作,1994年，为配合相关建设，北京市文物研究所对圆明园西南部约11万平方米的区域进行了考古勘探工作，主要包括“藻园”、“十三所”、“山高水长”三处遗址，并发掘了藻园遗址，标志着圆明园正式考古工作的开始。,圆明园考古工作回顾,C3,10,7-1.jpg,2
21世纪以来的圆明园考古工作,21世纪以来，随着《圆明园遗址公园总体规划》的批准与实施，圆明三园遗址的考古工作有条不紊地进行，以北京市文物研究所为代表的科研单位陆续在园内进行了大量的考古工作。,圆明园考古工作回顾,C3,15,7-9.jpg,3
圆明园大宫门遗址,圆明园大宫门是圆明园宫门的代表。2013年，为配合圆明园遗址的保护与规划，北京市文物研究所发掘了圆明园大宫门区域，发掘面积3000平方米，清理出大宫门、西朝房、二宫门（出入贤良门）、东转角朝房及御河遗存。,圆明园发掘遗址举例,C3,17,9-3.jpg,1
长春园含经堂遗址,含经堂遗址是圆明园规模最大的建筑群基址。2001~2003年，北京市文物研究所发掘了含经堂遗址，发掘面积共计35000平方米，全面揭露了主体建筑群和周围附属建筑遗迹。,圆明园发掘遗址举例,C3,18,7-8.jpg,2
海晏堂蓄水楼遗址,2015年10~12月，为配合海晏堂蓄水楼的抢险、保护与展示工作，北京市文物研究所发掘了海晏堂蓄水楼遗址，发掘面积共计800平方米，清理出喷门址、石柱、台基、夯土台、喷泉排水系统等遗迹现象。,圆明园发掘遗址举例,C3,19,10-1.jpg,3
,,,,,,
,,,,,,
