name,content,explanation,answer,a,b,c,d,questionImage,order
什么是考古学,考古学能够帮助我们：,考古学更多地关心与“物”相关的一切——古人留下的物品、生活痕迹、与他们共同生活的自然世界……总的来说，考古学关心过去遗留的一切，它的诞生与发展，拓展了我们认识过去的维度和时间跨度,c,解读古代文献记录,"
了解外星人是否来过地球",了解过去遗留的与“物”相关的一切,设计文创产品,question.jpg,1
为什么要进行田野考古,田野考古是为了：,田野考古既是科学获取实物资料的基本手段，又是对古代遗存进行直接科学研究的第一过程,d,提取物质史料,收集“物”和“物”所处的“情境”等相关信息,对古代遗存展开初步分析,以上都对,,1
怎样进行田野考古工作,对田野考古的常见认识误区有：,田野考古工作是对过去的人类社会进行研究的一种科学方法，最重要的是对历史信息的收集。工作大致包括前期准备-野外工作-室内整理-编写发表报告四个阶段，其中，野外工作有考古调查和考古发掘两个大类,d,田野考古就是考古发掘,考古就是挖宝和盗墓,田野考古是指在野外进行现场工作,以上都是常见认识误区,,1
为什么盗掘令人憎恶,为什么盗掘令人憎恶？,除了对“宝物”的掠夺本身，将“宝物”从其“情境”中剥离，意味着相关信息被永久删除,d,因为盗掘会破坏古代遗址,因为盗掘会使“物”和“物”所处的“情境”等关键信息被删除,因为盗掘让古代遗物流失,以上都是,question.jpg,1
田野考古的前期准备,田野考古工作需要对发掘地点进行哪些了解？,作为研究对象的“地”，我们要做好前期案头研究工作，检阅与其相关的各类资料，并对其保存现状、学术价值等有初步的认知。同时，“地”还是我们的工作环境，因此，我们还要预先了解其交通、住宿、气候、雇工等工作条件。通常，开展田野考古的地点较为偏僻，相应的工作、生活条件都较为有限，需要我们在准备阶段充分考虑，准备应急用品，预先制定应变措施,d,了解交通情况,了解住宿情况,了解天气情况,以上都是,,1
田野考古的理论依据,以下哪个不是田野考古的理论依据？,田野考古的理论依据有地层学、类型学、共存关系、考古学文化等,c,类型学,地层学,进化论,考古学文化,,1
考古调查,考古调查不包括：,考古调查是在基本不破坏遗址或遗迹的情况下，发现和获取遗存资料的一种方法,b,获取一定的遗存资料,挖探方,了解区域地形,注意区域断面,,1
考古发掘的方法,探方法发掘的顺序从前到后依次是：,主体部分先发掘，形成掘坑，通过对它的发掘，基本上可以掌握探方堆积的内含。东侧和北侧的隔梁给发掘者提供了一定的剖面信息参照，在发掘主体部分时，能够在一定程度上了解探方内的地层关系，因此，隔梁一般在主体发掘完之后再发掘。关键柱位于四个探方的交角处，它们之间的地层和遗迹的相互对应关系可以在关键柱上观察到，所以最后发掘，或保留,a,主体-隔梁-关键柱,主体-关键柱-隔梁,关键柱-主体-隔梁,关键柱-隔梁-主体,,1
发掘资料采集,以下哪些属于可以采集的发掘资料？,考古发掘现场所获物质遗存，大致可分为人工遗物和自然遗存两类。人工遗物指由人类制造、加工或使用的物品，如石玉器、骨角器、陶瓷器、木漆器、金属器等。采集时，除发掘到的器物成品外还应注意制作过程中的原料、制造和加工过程中产生的坯料、废料、残次品等包含加工工艺特征的遗物。自然遗存指遗留在遗址内，与阐释人类活动相关的动植物（包括人类遗骸）、矿物遗存等。此外，还应注意对人的手、足等印迹及工具痕迹等重要遗痕进行采集,d,陶瓷器,足迹,动物骨骼,以上都是,,1
考古发掘记录,考古发掘记录有哪些形式？,形式上，发掘记录的基本形式应包括文字、测绘和影像三种。完成相应记录后，还需要进行资料的汇总与存档工作。随着电子信息技术的发展，记录逐渐电子化，还开发有专门的考古信息系统，进行发掘过程中资料的收集、记录和汇总,d,文字,测绘,影像,以上都是,question.jpg,1
遗址、遗物、遗迹的保护,关于遗物保护，以下说法中不恰当的是：,尽量确保施加到遗物的任何保护手段都是可逆的,c,起取易碎物品前，拍照记录其原状,有时候，重要的不是清洗出土物，而是不要清洗,为了确保遗物状态稳定，不必考虑施加的保护手段是否可逆,以上说法都不恰当,,1
田野考古的室内工作,如何选择器物标本？,标本是田野发掘过程中出土的关键器物，如：整器、接近完整器、重要的残破器都是标本,d,完整器,接近完整器,重要的残破器,以上都是,,1
